date,country,reviews,ratings,comments
7th June 2023,United Kingdom,"""All in all very disappointing""",4,✅ Trip Verified | My husband and I booked seats within our premium economy booking. On both outward journey BA015 on 12 February and return on 11 March we were last OR almost last to be served food. Each time they had run out of our choices. On one occasion I did not eat as only available option was curry which disagrees with me. On all flights there appeared to be an undue focus on curry/spicy food. All in all very disappointing and left us with a very poor opinion of British Airways.
6th June 2023,United States,"""customer service was horrendous""",1,"Not Verified |  May 3, flew from Seattle to Heathrow then to Edinburgh. BA lost my golf bag which caused me to purchase golf shoes, club rentals, tees, balls. I had tee times at two courses in St. Andrews that took months to make. The promised my bag returned in 24 hours and they would reimburse occurred expenses. I contacted BA and they state they would only reimburse toiletries. Then the return flight home was randomly canceled by BA without notifying me or without notice two weeks before the scheduled flight. I contacted the corporate travel team, they informed me BA, canceled my return reservation. They rebooked me on the same flight. BA customer service was horrendous and make false promises. I will never use this airlines again. Beware of British Airways. They also randomly canceled my girlfriend and her fathers flight and they are both gold members."
6th June 2023,Greece,"""All flights without exception were delayed""",2,"✅ Trip Verified | I went through three flights to reach my destination. All of my BA flights without exception were delayed, both on my way to my destination and back from my destination which is understandable to an extent. What's not understandable is that they weren't prepared for one of the flights and delayed by almost an hour so I ended up missing a flight and for that they rebooked me 24h ahead providing only accommodation which they messed up as well and after 30 hours of traveling I had to wait and hope that the hotel would find an extra room since BA didn't communicate properly with them. I gave BA a chance to correct their mistake by contacting them after the flights but all they did was answer once with a lot of serious complaints that were involved with their flights and all they did was tell me to contact their partners that I had the last flight with, which went smoothly and they had nothing to do with the previously addressed complaints. I contacted them and gave them over a week asking why they didn't address any of my complaints that their partner could have nothing to do with and they just ghosted me. 2/10 for the kind personnel that's holding this airline together though."
6th June 2023,United Kingdom,"""An excellent flight""",9,"✅ Trip Verified | An excellent flight in Club World on British Airways. The welcome aboard was warm and that continued throughout the flight. The crew were attentive, friendly and very professional. On board food for dinner and breakfast was good and there was a well chosen selection of wines. In flight entertainment offered a great selection of films and audio. The seat/flat bed was very comfortable - British Airways have done an excellent job in the design and comfort of the suites on board the A350. I liked the sleek, minimalist design. This flight showed that BA can be among the world’s best airlines."
5th June 2023,Canada,"""luggage was still in London"" ",3,"✅ Trip Verified | The flight schedule was delayed for one hour. After boarding the plane we were delayed at least another 30 minutes. When we arrived in London, we were delayed again for at least another 30 minutes to find a gate. We were left with 45 minutes only to catch our connecting flight to Barcelona, we needed to run and take the train to different terminal to catch our next connecting flight. When we arrived at Barcelona airport, we discovered that our check in luggage was still in London. Very painful trip (disrupted our vacation). Not flying with BA anymore if I can find alternative Airlines. "
3rd June 2023,United States,"""worst experience in all my years of travel""",1,"✅ Trip Verified | The worst experience in all my years of travel. My first flight with my two kids from Boston to London was delayed by 2 hours, resulting in me missing my connecting flight. Despite having a layover of approximately 2.5 hours, I ended up waiting until 4.30 pm to board my flight to Cairo. Unfortunately, even that flight was delayed. I would strongly advise avoiding this particular airline, even if it means paying a bit more for a different option."
3rd June 2023,Australia,"""The worst experience""",1,"✅ Trip Verified |  The worst experience in all my years of travel. Bag was destroyed, flight delayed 3 hours and couldn't get water on board. Then when attempting to claim on their website the entire site failed on a dropdown menu that wouldn't work. You can't contact them. Plane was filthy and someone else's belongings and left over food was still in our seat."
2nd June 2023,United States,"""haven’t received any reimbursement""",2,✅ Trip Verified |  Terrible delays. Had to rebook our domestic travel for 5 passengers and haven’t received any reimbursement on the same. Lost all my luggage; received luggage after 4 days. Had to purchase new clothes for the family for a wedding. No customer service rep picks up the phone.
1st June 2023,Cyprus,"""the crew has helped me""",10,✅ Trip Verified |  A serious medical problem appeared while I was onboard. I informed the crew and they helped me out. Unfortunately I was in transit but travelling further became too difficult because of how unwell I became. Also I could not find my way back home in my condition. Thankfully the crew has helped me in every step of the journey until I returned back home. It was a stressful experience but the crew of British Airways made it way more tolerable.
30th May 2023,United States,"""check-in process was terrible""",1,"✅ Trip Verified |  I haven't flown British Airways before and will never fly them again! The check-in process was terrible and slow. There were over 30 people in the regular check in line and they had two agents working it. They had one agent working the first class line. It should not take that long to check people in especially when people should have checked in online ahead of time. Our group checked in online and almost missed our plane because of the slow counter service. We had to run to the gate and we did make it, but they were terrible!"
29th May 2023,Italy,"""the worst airline experience I've ever had to deal with""",1,"Not Verified |  My itinerary was supposed to be Las Vegas-Chicago-London-Venice. When I landed in London Heathrow, I was stuck on the aircraft for 2 hours with no explanation as to why and because of such a delay I missed my connecting flight to Venice. Getting off the plane was when the real nightmare took place. Our flight had over 300 people aboard meaning many were in a rush to get to their flights or had already missed their flight. They put us into two lines, one of them being for people who missed their flight. I waited approximately 10 minutes just to come up to a clerk who told me ""Since I missed my flight I would have to go to the connecting flight BA service desks for further assistance."" If I were to have known that was the only information I would receive I would have skipped being in that line altogether. When I went to the service desk where there were more than 60+ people standing in line, I waited 30+ minutes until a clerk came by passing everyone a pamphlet telling people to create an account online and to book our flights through the BA site since their systems were down and couldn't rebook anyone. It was a hassle doing anything through he BA site so I ended up calling the helpline. After waiting to be connected to a BA rep. I spoke with a woman who said I would have to call Iberia Airlines for a rebook, I called Iberia and they said since I booked through Expedia I would have to call them. Expedia then said I would have to call BA for the rebook so when I called BA again, the rep. said the only flight he could get me booked for was for the following Monday, mind you I was travelling since the 25th which was a Friday. All the hotels in the vicinity of the airport were booked, I was trying to figure out where my checked baggage went (I still don't have it), most of the customer service I got from BA reps was horrible service as if they could care less for the predicament their company caused me. They acted like I was inconveniencing them with ""my issues"". I also had to sleep in the airport waiting for my flight the next morning because hotels were booked. Overall my experience with British Airlines has been the worst airline experience I've ever had to deal with. I will never book with this company again. I would rather pay more money for a ticket in a different airline than buy through this company again."
29th May 2023,United Kingdom,"""Service was good""",9,"✅ Trip Verified |  Busy day at LHR and flight full. Lounge crowded but B gates lounge quieter. Flight left on time, very professional crew, greeted by name and executive club status acknowledged and thanked for return custom. A nice touch. Service was good. Food average. Entertainment good. Early arrival, quick processing at JFK. All good."
27th May 2023,Canada,"""Last time I will fly British Airways""",2,"✅ Trip Verified | Worst seats I have ever encountered in economy class. No leg room at all. I had to spread my legs to fit. Staff at the terminal rude. “Business class” offers the same seat, but with more legroom and they block the middle seat. They cram people in seats with no legroom and block off the same seat type at the front of the plane (where there is more legroom) just so the “business class” passenger has an empty seat between them. Plane is old with no onboard entertainment for a 3 hours flight. Last time I will fly British Airways."
23rd May 2023,United States,"""cancel your flight without notice""",1,"Not Verified | Top Ten REASONS to not use British Airways To all: Be Aware and be on Notice- Travel at your own risk I have travelled for years on many different airlines, and I have to say that British Airways ranks as one of the top two most horrible airlines to fly. Don’t waste your time or money. Customer service is non-existent. Please be on notice that if you purchase a ticket from them and once, they have your money, you can kiss any customer service and or help resolving your issue goodbye. We used them to travel to Europe and it was the worst experience I have had with an airline in years. When you work hard and save your money to travel, you expect a good experience. Welp not with this company. Who I am sure, makes millions on customers per year. I understand that sometimes things happen, but this started right after we booked our flight AND THE BAD EXPERIENCE DID NOT END UNTIL WE SET FOOT BACK TO OUR HOMETOWN. Please take note: #1 - The customer service number is buried on the internet and not listed on their website. I had to google it and still got the run around when someone finally answered. Trust me, the number is a secret. #2 – When you FINALLY find a customer service number, there is a long wait and when or if someone answers, they will not resolve your issues. Instead, they pass the buck to whatever airlines that they sold your ticket to. NO ONE TAKES OWNERSHIP #4- What airlines operates 365 days a year and around the clock but doesn’t have customer service reps to help you, the customer? BRITISH AIRWAYS that’s who. #5 - They will cancel your flight without notice and not notify you, AT ALL. NO EMAIL, NO TEXT. #6- If you are not the primary on your ticket you will get no notifications or even if you are the primary, you may or may not get notifications. #7 - If you pay for seats and you pick them, it doesn’t matter, they will cancel your seats and not refund your money and then play stupid. #8 - The flight may be cheaper, but it is not once you are done paying for seats. #9- They will route to another partner airline and not notify you #10 – If you have a connecting flight, they will cancel one leg and not the other and NOT NOTIFY YOU. I will never use them again. And if this review helps one person that heeds my advice, then my job is done."
23rd May 2023,Spain,"""flights changed with no cost""",10,Not Verified |  Easy check in on the way to Heathrow. The flight was on time with no issues. Our return flight to Valencia was booked for the afternoon and our long haul flight arrived early at Heathrow. This was with another airline and was not a connecting flight. I asked at the British Airways check in if we could be put onto the morning flight back to Valencia to avoid seven hours waiting at Heathrow. We had our flights changed with no cost and were checked in within five minutes. That is indeed customer service. Thank you.
23rd May 2023,Chile,"""Cheap, quick and efficient""",10,"✅ Trip Verified |  Online check in worked fine. Quick security check. Once onboard quick flight up to Glasgow, water and snack provided. All in all very pleased. Cheap, quick and efficient."
22nd May 2023,United Kingdom,"""the worst major European airline"" ",2,"✅ Trip Verified |. The BA first lounge at Terminal 5 was a  zoo at 2pm, dirty tables and used tableware everywhere. Worse than this, the usual atrocious boarding gate service, and boarding started 50 mins late. The flight was operated by a Finnair A320, which is barely low cost standard let alone business class. Hard, thin, uncomfortable seats, poor legroom and the cabin was simply tatty - I remain shocked that BA allow this, and it's time for BA's CEO and management focused on standards rather than bean counting. Finnair cabin staff were fundamentally courteous, but they provide a very trimmed down, budget airline type service, as the whole trip turned out to be - and yet this business class ticket was one of the more expensive on recent trips. I thought post Covid that BA were better for a few months, but with the many cost cuts they are making, they fall well below all other European full service Airlines. "
22nd May 2023,United Kingdom,"""do not think the fare was worth the money""",4,"Not Verified | Paid a quick visit to Nice yesterday from Heathrow. Decided to go Business class since my last short haul flight in Economy was a real crush and rather unpleasant. I paid over £300 for a business class round trip. I went into the to BA lounge in Terminal 5 which was very crowded. Being 6.30 in the morning I decided against having a drink and stuck to the breakfast offering. The cooked options did not look that appealing but the fresh fruit selection was very enjoyable. We subsequently discovered a much nicer BA lounge closer to the gate, B36, and waited there for 40 mins. Boarding was efficient and we got ourselves seated in 2A and 2C, seat 2B was blocked out, which acted as an additional table. There did not seem to be any difference in the width of the seat from the cramped seating in Economy but there may have been an additional inch of leg room. I think that BA are trying to outdo EasyJet in terms on no frills. It would not cost BA that much to supply Business class passengers with a complimentary newspaper to read during the flight. The inflight magazine is no longer available. There are no screens so there was zero in terms of in flight entertainment. The inflight WiFi was flaky at best and non-existent at other times. I was glad it was only a two hour flight. I really do not think the fare that we paid was worth the money"
19th May 2023,United States,"""BA is on the skids downhill""",2,"✅ Trip Verified |  Words fail to describe this last awful flight - baby across the aisle crying for most of the flight and although horrible to go without any rest for the long flight LHR/SFO, it's understandable for a baby to cry nonstop - but the crew yakking loudly in the galley even after a polite notification that their conversation could be heard in the cabin - that made the flight unbearable for any rest or sleep (always difficult anyway westbound). The food was so bad that most  turned down whatever the nasty offering was on the 2nd service. What happened to the really nice tea and scones? I've said this before after suffering through the BA concept of customer service (i.e. don't do anything to help the passenger if it involves any extra work) - this time i swear i mean it - never again on BA please! The lounge was so packed even a single traveler had a hard time finding a seat - poor BA is on the skids downhill."
17th May 2023,United States,"""Absolutely terrible experience""",1,"✅ Trip Verified |  Absolutely terrible experience. The app would not let me check in online and repeatedly asked for COVID documents, but then did not accept them even when provided. I was trying to fly back to the USA, where I am a citizen and the app caused repeated errors. I went to British Airways Customer Service to check in and was told that my seat was already given away to another passenger, even though I was there in plenty of time. This was also during an industrial action at Heathrow, meaning the number of flights were limited. I was delayed over 24 hours in returning to the USA, all because of their terrible app and then bad customer service that gives away seats even when the paid passenger is already there at the airport."
17th May 2023,United Kingdom,"""poor service and unhappy customers""",1,✅ Trip Verified | BA overbook every flight to maximise their income with no regard for the customer. It means you cannot check in online or at the kiosk in the airport and have to queue even with no luggage. Makes easyJet and Ryanair look like customer champions. The server in Itsu in the BA terminal says she stopped flying BA years ago due to the service being bad all the time. Most customers she serves have a complaint Staff don't care as poor service and unhappy customers is a routine occurrence.
17th May 2023,United Kingdom,"""just won't use them again""",1,"✅ Trip Verified |  
The flights were all on time, except Belfast from London which never is. The Staff were efficient. My issue is the App, I could not book seats to Tel Aviv though tried for a month as wanted to pay. So ended up in a middle seat even though a window seat was available on the flight. The seat was in front of the dividing barrier and was used as thoroughfare by the service team throughout the flight so I wasted my money on PE seat! You can get hold of BA customer service via the app either and they have just ignored all other communication so just won't use them again."
14th May 2023,United States,"""Another bad show""",3,"Not Verified | Only the second time flying BA as first time wasn’t positive. Could have made my connection in Heathrow if BA had been proactive. Instead, overnight at the Renaissance hotel compliments of BA. Adequate, but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers. If BA had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving, we could have made our flight and saved BA the cost of rebooking, hotel, shuttle, food accommodations. Another bad show. Business class fare should offer more."
14th May 2023,United Kingdom,"""what an earth is going on at BA""",3,"✅ Trip Verified | I wasn't going to bother reviewing this flight as I seem to be on a perpetual downer with BA but the airport experience convinced me otherwise. After having our flight class reduced from First to Business, then offered an alternative route on the outward leg in First to make up for the disappointment, they then reneged on this. As it was a special anniversary it sucked. Flying back we checked in online to our chosen window seats, at the gate we had to show our passports as we passport before boarding as we were hand luggage only. Trying to board we had our passports checked twice more and were issued new boarding cards for centre seats. Unbelievable! The flight itself was very quiet and only half the normal crew for this aircraft was unavailable. This meant no pre-departure drinks and a limited selection of food. The crew was great but what an earth is going on at BA, they have this unique knack to snatch defeat from the jaws of victory every time. I say this as the new club suites are great."
13th May 2023,United States,"""I had to reschedule my flight""",1,"✅ Trip Verified |  I booked business class tickets for my fiancé and I. I had to reschedule my flight due to an unforeseen timing change, so I called to get have my flight refunded. The representative on the phone informed me he wasn't sure how much I would get, as the refund department needed to check, but estimated I would lose 10-20% of my booking to fees. I accepted. I never got a cancellation email, or any update, but instead received $35 total back. Less than 1% of my booking costs. Since then I have spent over 5 hours calling different departments before they blocked me. I've lost a tremendous amount of money with nothing to show."
8th May 2023,Australia,"""most appalling airline service""",1,"✅ Trip Verified |  I will never travel with British Airways again. I spent over $10,000 on a business class seat to attend a funeral in the UK. First, the Boeing 787-9 cabin has 7 seats across the aisle so what you are getting in reality is premium economy. The seats are narrow and effectively are a business class seat cut in half. They have squeezed these seats in which means that some passengers bump their heads into the bulkhead when they stand up and many have to clamber over others to go to the toilet, which wakes up that passenger. The whole point about business class is that you pay to rest and have privacy and not have someone push over the top of you. Second, the food was disgusting. Third, the service terrible. Fourth, the toilet was tiny. Fifth, the inflight screen was fixed and too high so I could not see anything. Sixth, their baggage handling is also appalling meaning that my taxi was waiting for 2 hours and I had to pay more (no free airport transfers with British Airways). Seventh, the charging points did not work. The second leg to London was on a larger plane with 4 seats across the aisle. That was bearable because no hopping over people but the seat was very uncomfortable because it was not one piece. This means that you are sleeping on a metal bar (the seat) where there is a gap in the seat. To add insult to injury I now find that both flights back to Sydney are on the small plane. To book a seat before check in is $170. I paid it but note that there were only 4 seats left. This is why I got the worst seat in the house going out. This is the most appalling airline service I have ever encountered. There is no point paying for business class in British Airways. "
6th May 2023,United Kingdom,"""Customer service is shocking""",1,"✅ Trip Verified |  I am already in Portugal so contacted them today and they cancelled my return flight because I was 10 minutes late calling them, even though I tried for 2 hours to get through the day before. Now I am unable to get back and they have kept the 500 pounds. Customer service is shocking, they have no intention of helping you."
6th May 2023,United Kingdom,"""Avoid this airline"" ",1,✅ Trip Verified |  Terrible. Avoid this airline. It’s now becoming regular practice to cancel flights. Had a cancellation from Switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to Spain. The airline only knows how to ask for expensive prices.
1st May 2023,United Kingdom,"""a lot of actual lies being told""",2,"✅ Trip Verified |  Despite being a gold member, the British Airways staff in Heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service. All the staff members repeat the same mantra - “we are not obliged to provide even an update for the first 24 hours” as if that would make the situation better. There are no proactive updates, no empathy, no care but a lot of actual lies being told. You can tell that they have given up any care or thought for the passengers as actual individuals - they show this in every action and word they say. All of them are better suited to working away from other humans."
28th April 2023,United Kingdom,"""premium price for very average service""",5,"Not Verified | Regarding the aircraft and seat: The business class seats on this flight were pretty good. All were of the suite type, where every seat has its own booth with sliding door for extra privacy. The downside to this is that if you are travelling as a couple, its quite difficult to interact. There is ample storage and USB charging ports. The seat is pretty comfortable. As someone who finds it very difficult to sleep on flights, this was one of the only times I've been able to get a few minutes sleep here and there. The amenities provided are pretty average when compared to other airlines. The leather toiletry bag was quite nice though. No slippers, only a pair of socks. The restrooms on the flight are very small, and don't provide much in the way of toiletries compared to other airlines. No free Wi-Fi in Business Class is not acceptable. Another example of BA's penny pinching in recent years. Regarding the staff and customer service: Poor. Inattentive. Beyond meal times there was offer of water during the flight. I had to go and find an attendant and ask. There was also no offer of any snacks. Rude at times. My partner asked for a fork to be replaced as the one provided was quite clearly dirty. The attendant was incredibly rude in response. This left us shocked. Different customers seem to receive a different quality of service. A customer behind me was repeatedly greeted politely by name and asked how they were, whether they needed anything etc. whereas my partner and I were not afforded the same level of personal service. This is disappointing as we paid the same price for the tickets so expect the same level of service. The food was pretty bad. I had risotto while my partner had chicken. Both were extremely over cooked and the rice looked like porridge. The vegetables were discoloured and flavourless. The bread was nice though. The breakfast wasn't much better. Summary: BA has become the Ryanair of long haul. The customer service is way below what I would expect for a premium airline in a premium seat. You pay a premium price for a very average service. If there are other options available I would choose them over BA these days."
26th April 2023,Sweden,"""lack of customer service""",1,"Not Verified | I travelled with British Airways from Sweden to Los Angeles via London in December 2022. When I arrived at LAX one of my bags were missing. There was no information of the whereabouts of my bag and after searching for someone for about 30 minutes, I found the point of contact and she told me my bag was left behind. I gave her my details of where I would be staying and she told me that they would contact me. After a few days and still no contact I tried to call British Airways customer service. The woman at the airport didn’t give me a file reference number, so it was quite difficult to try and locate my bag, but they finally found the reference number and my bag and said it would be delivered in a couple of days. I told them that I had switched hotels and gave them the address for where I was staying and everything was fine. But then a couple of weeks went by and my bag was still nowhere to be seen and it was time for me to fly home. At the airport I tried to talk with the personnel there to try and locate my bag and they said that it was delivered to the first hotel I stayed at, even though I had given them an updated address. I asked them what I should to since I was flying home now. The guy at the counter told me that it wasn’t his problem and that I should figure it out myself. I questioned him about his response and he just walked away. A manager saw that and came up to me and apologized for his colleague and that they would send someone to fetch my bag and send it with either my flight or the next one. I came home and a couple of days later I received my bag. I made a complaint and claims on British Airways website since I had to buy clothes and toiletries during my vacation because I didn’t have my bag. In January they said that they would refund me for my claims, it is now April (almost May) and I have still not received the refund even after multiple email conversations. I don’t know what to do anymore about this situation since it appears that no one is willing to help me. I am appalled about how the situation is being handled and frankly disappointed at British Airways and the lack of customer service."
24th April 2023,United States,"""Overall not a good airline""",2,"Not Verified |  Food was lousy. Who ever is planning the Asian Hindu Vegetarian meal is clueless as to what this meal includes. The snack was also lousy. It took us 2 hours just to go from T5 to T3 and clear security check. The place was chaotic. We get to our boarding gate and again a long line with 40 minutes wait for someone to check passport and boarding pass. Seats in Premium economy was ok, but when the passenger in front reclines, there is very little space for the window seat passenger to cross over. Overall not a good airline."
24th April 2023,Canada,"""delayed and missed connecting flight""",1,"✅ Trip Verified | Had the worst experience. The flight from London to Toronto got delayed and we missed the connecting flight to Halifax. We were four including an infant and a toddler aged 4 years, despite being delayed and missed the connecting flight the ground staff were not at all helpful. We waited for an hour to get them to talk to us and at 12 am they told us they have not booked any hotel for us to stay that night and asked to go search for a hotel on your own, very nice of you British Airways. At least you guys should have given some consideration to the travelers who travel with children and booked some accommodation. We will NOT to travel on this airline again."
23rd April 2023,Ireland,"""!not a good experience""",1,✅ Trip Verified |  The ground staff were not helpful. Felt like all they wanted to do was rush us to check in and then all passengers needed up waiting in a holding area for a bus anyway. Travelling with a child with a disability was a nightmare with British Airways. Logged a complaint and it took almost four weeks to answer. Lost some of our luggage. It was not a good experience.
22nd April 2023,United Kingdom,""" A very pleasant experience""",10,"✅ Trip Verified |  Second time BA Premium Economy in a newer aircraft and yet another excellent experience. Despite a three hour delay and missing my connection in Hong Kong, this was a very pleasant flight. Seats are spacious and comfortable in Premium Economy in this layout, attitude of the cabin crew was excellent and food was good. They communicate well and rebooked my connection during the flight which brought peace of mind. A very pleasant experience in BA Premium Economy after a major disappointment in Club World earlier this year."
18th April 2023,United States,"""It was a nightmare""",2,"Not Verified |  They changed our Flights from Brussels to London Heathrow to LAX on 4/16/2023. We paid extra to choose our seats. Since they cancelled they never honored the seat that we bought, they seated us in totally different seats. I asked the check in employee, she was very rude and told us that we have to understand that was a different flight. From London to LAX was worse, nobody in the airport help us. Employees from BA told us that we have to return next day for our flight we can rent a hotel or go terminal 3 and sleep there. Finally one employee help us and gives a voucher for hotel. It was a nightmare this airline. We missed one day work and BA didn’t return the money that we paid for our previous chosen seats."
18th April 2023,United States,"""Abysmal service""",5,"Not Verified |  At Copenhagen the most chaotic ticket counter assignment in the history of airlines. Time on board never changed, no fixed counter at Airport. Abysmal service that needs vast improvement here"
17th April 2023,United States,"""trained to give you the runaround""",1,✅ Trip Verified |  Worst experience of my life trying to deal with the customer service for British Airways. So many issues with getting from one destination to the other. Had an absolutely horrible time trying to get answers or reach anyone who was capable of helping navigate uncertainties. I wrote them a formal complaint requesting some type of refund and received a generic “we are sorry” email with 5000 avios attached which is equivalent to maybe $50 on a $600+ flight. Needless to say these will go to waste as I refuse to fly with an untrustworthy incompetent unorganized airline that couldn’t even address one single issue expressed to them. It was equivalent to handing me a band aid after slapping me in the face. I will say the flight itself was smooth and the onboard staff was kind and attentive. The most frustrating thing is that the customer service is trained to give you the runaround so heavily to the point of exhaustion that you just give up trying and take the loss.
17th April 2023,Hong Kong,"""they only had one choice of meal""",3,"✅ Trip Verified |  Due to code sharing with Cathay Pacific I was downgraded to BA on my return leg. I can’t describe how cheated I felt. I booked and paid for an airline with great entertainment, food and service, instead, I was forced to go hungry because they only had one choice of meal and it was inedible. To ensure the passengers didn’t get any funny ideas and assume that as the vegetarian option was unavailable they might be given a cracker or a small packet of nuts. The cabin crew announced in their uniquely aggressive and dismissive way “You won’t get anything else for 12 hours you know!” the entertainment is compiled mainly of B movies so I paid £11 for Wi-Fi so I could watch Netflix on my laptop. Unsurprisingly, the signal was so weak I couldn’t even send an email. To add insult to injury, the earbuds provided the cheapest and lowest quality I have ever seen. Since the last time I used this airline the crew are less rude and obnoxious and are now just impatient and unhelpful.  What I don’t understand is why it seems that British Airways look for these characteristics as desirable attributes for their crew. "
16th April 2023,United Kingdom,"""relentless BA cost cutting""",4,"✅ Trip Verified |  LHR check in was quick at the First Wing and quickly through security. The First lounge was quiet for a change and a reasonably good breakfast buffet available. While BA have brought back their Highlife magazine in the lounge, it seems they used Covid to scrap all the other magazines they used to offer, as part of the endless BA cost cutting. The toilets in the lounge were as disgusting as ever, not cleaned frequently on this visit and they are about 20 years out of date (the public washrooms in T5 are better and cleaner). Boarding was the usual BA muddled mess, and two of the gate staff appeared to have no clue what they were doing. Endless announcements at the gate about being a full flight, requesting passengers to check in bags, only to get on a flight that was less than 40% full. Onboard a very good welcome from Captain and the flight left the gate only 5 mins late. Breakfast had 3 choices and was a fair standard. No hot towels or even packet towels offered in Club Europe any more, another part of the relentless BA cost cutting. I wouldn't mind but fares are proportionately a lot higher now than pre Covid. Cabin staff service was perfunctory at best, not a scrap of recognition for BA Gold or Oneworld Emerald members, clear proof that BA really don't care any more. Breakfast trays cleared 45 mins into the flight, and that was the sign for staff to stay in the front galley for the rest of the flight. Paid £4.99 for 1 hours wifi, and dropped connection for the next 40 mins. Sad to note that staff service on Ryanair is more pro active nowadays. Priority tagged suitcase came out nearly last at Malaga, this is standard for BA business class baggage handling. Do not waste your money on Club Europe, standards just keep dropping. "
15th April 2023,United Kingdom,"""I wouldn't recommend British Airways""",3,"✅ Trip Verified |  I wouldn't recommend British Airways at all. I tried to call to customer service for 3 times in different days and time and I waited for more than 30 minutes on the phone! I ended hanging up. They are excusing themselves in the high volume of calls. I write an email an I am still waiting for 2 weeks!  Website is difficult to navigate. It is not easy really to have an invoice of proof of receipt or look for another service. They sent you online but you don't receive a PDF file. So if you need a proof of flight, you need to do screenshots. And, once the flight is flown, you have no access to that booking again to reprint any document or try to create a PDF. You need to contact with a customer service which I did it online, long waiting time, and had to wait more than a week to receive it. Expensive and poor, almost inexistent customer service and difficult to use their website. An airline that definitely wouldn't recommend. It is such a shame that in 2023 they are still in this position and sleeping when they have competitors around"
15th April 2023,United States,"""Absolutely horrible experience""",1,"✅ Trip Verified |  Absolutely horrible experience. I booked a ticket from Expedia for a British Airways Operated flight from Madrid to Belfast with a changeover at London Heathrow. The whole itinerary was listed as BA although the Madrid to London flight was Iberia. On Jan 22nd, London was experiencing cold and fog. The Iberian flight sat on the tarmac for 2 hours in Madrid because of the London weather. Upon landing in Terminal 3, I had to take a bus to Terminal 5. The flight was the last flight to Belfast for the evening and it had already taken off. The BA desk was swamped with people as many people had to spend the night due to the weather. The British Airways staff said that we could go book any hotel up to 200 pounds and we would be reimbursed. I was barely able to find a room and had to take an expensive cab. However when trying to get the reimbursement, BA said it wasn't their problem and that it was Iberia's problem. Iberia said they do not reimburse due to the weather. When complaining to BA, they said they only market the flight as BA and that they refuse to reimburse. Absolutely disgusting behavior by the airline to not take any responsibility for a flight that they were using their name to sell it to people but don't want to take responsibility for it. Did they expect me to take the bus back to Terminal 3? Their people gave out false information."
14th April 2023,United Kingdom,"""This is the worst airline""",1,"Not Verified |  This is the worst airline. Not one thing went right. I don’t understand how they have got it so bad. Late take off, no gate when we arrived. Bags took over 40 minutes to arrive. Horrendous"
13th April 2023,United States,"""never fly British Airways again""",2,"✅ Trip Verified |  I will never fly British Airways again. To start, the plane was over 2 hours late, with no weather and no reason given. The boarding process was chaotic, both in the airport and onto the plane. But more importantly, although we were in business class, it wasn’t really business class. There were a few aisles —not separated in any way—in which they simply put a tray on the middle seat so that no one sits there. And those seats, like the rest, were extremely cramped and uncomfortable. I could not believe they called this business class."
12th April 2023,United Kingdom,"""seats were cramped and uncomfortable""",1,✅ Trip Verified |  Worst aircraft I have ever flown. The seats were cramped and uncomfortable considering the flights cost well over &1000each we expected a little space for the money my husbands knees were rubbing on seat in front which for a 10 hour+ flight is not acceptable. My food was disgusting and inedible both the hot food and the breakfast were vile. I would not entertain using BA again. Ground staff were great it’s the seating and food on offer that lets the airline down. We expected so much more.
11th April 2023,United Kingdom,"""I enjoyed my flight""",9,"✅ Trip Verified |  I enjoyed my flight. The boarding was swift and service was very friendly and professional. The food selection was good and I enjoyed the quality. The was only one downside - when we landed there was an issue with ground crew not being ready at T5, so in total from landing to getting the doors open it took 30 minutes. I believe the Heathrow T5 were having strike action that week."
10th April 2023,United Kingdom,"""found the food menu rather odd""",5,"✅ Trip Verified | Why do you make it so hard? After a so so lounge experience, the staff taking care of boarding treated us with disdain bordering contempt. It can’t be training, who would do that, it has to be no fear of anything happening. The “new” club world suites are a huge step up from the old product and really on deliver comfort and privacy. The crew were professional but I personally found the food menu rather odd. Essentially, there was one only main that I could handle and was then told they had ran out. I was a few rows in. "
9th April 2023,United States,"""cover 50% of my new luggage""",1,"✅ Trip Verified |  After several delays and canceled flights, we finally made it to Copenhagen on American Airlines and British Airways flights. My luggage was destroyed, wheels torn off. I had to buy new luggage in Denmark. I made a claim with British Airways to reimburse me but because I didn’t have the receipt for my old luggage, they would only cover 50% of my new luggage. Advice, have receipts for your old luggage prior to flying so you don’t get ripped off like I did."
9th April 2023,United Kingdom,"""the worst flight of my life""",2,"Not Verified |  Literally the worst flight of my life. After booking tickets together with my partner, we were then separated: ‘sorry, the flight is full.’ The flight then took off 45 minutes late - no apology. The trolley service took over two hours and they periodically skipped rows, and the response was flippant and rude: ‘whoops. Not sure how that happened. What do you want?’ Genuinely appalling from beginning to end. Might as well fly Easy Jet - at least they charge a price commensurate with the poor quality of service, not like BA"
